n,ime,i,j,c1,c2
23,Random Block Graph with 11 blocks of order 3,1,4,3,2
23,Random Block Graph with 11 blocks of order 3,2,2,1,2
23,Random Block Graph with 11 blocks of order 3,2,3,2,1
23,Random Block Graph with 11 blocks of order 3,2,4,2,1
24,"2D Grid Graph for [2, 12]",1,2,4,4
24,"2D Grid Graph for [2, 12]",1,3,3,4
24,"2D Grid Graph for [2, 12]",1,4,3,3
24,"2D Grid Graph for [2, 12]",2,2,1,3
24,"2D Grid Graph for [2, 12]",2,3,3,3
24,"2D Grid Graph for [2, 12]",2,4,3,3
24,Circular Ladder graph,1,2,4,4
24,Circular Ladder graph,1,3,4,4
24,Circular Ladder graph,1,4,4,4
24,Circular Ladder graph,2,2,2,3
24,Circular Ladder graph,2,3,3,2
24,Circular Ladder graph,2,4,3,2
24,"2D Grid Graph for [3, 8]",1,2,3,4
24,"2D Grid Graph for [3, 8]",1,3,3,3
24,"2D Grid Graph for [3, 8]",1,4,3,3
24,"2D Grid Graph for [3, 8]",2,2,3,3
24,"2D Grid Graph for [3, 8]",2,3,3,3
24,"2D Grid Graph for [3, 8]",2,4,3,3
24,"2D Grid Graph for [8, 3]",1,2,3,4
24,"2D Grid Graph for [8, 3]",1,3,3,5
24,"2D Grid Graph for [8, 3]",1,4,3,4
24,"2D Grid Graph for [8, 3]",2,2,2,3
24,"2D Grid Graph for [8, 3]",2,3,2,3
24,"2D Grid Graph for [8, 3]",2,4,3,3
24,"2D Grid Graph for [4, 6]",1,2,4,4
24,"2D Grid Graph for [4, 6]",1,3,4,4
24,"2D Grid Graph for [4, 6]",1,4,4,3
24,"2D Grid Graph for [4, 6]",2,2,3,2
24,"2D Grid Graph for [4, 6]",2,3,3,3
24,"2D Grid Graph for [4, 6]",2,4,3,3
24,"2D Grid Graph for [6, 4]",1,2,4,4
24,"2D Grid Graph for [6, 4]",1,3,4,3
24,"2D Grid Graph for [6, 4]",1,4,4,3
24,"2D Grid Graph for [6, 4]",2,2,3,2
24,"2D Grid Graph for [6, 4]",2,3,3,3
24,"2D Grid Graph for [6, 4]",2,4,3,2
24,,1,2,5,4
24,,1,3,4,4
24,,1,4,3,3
24,,2,2,4,4
24,,2,3,4,3
24,,2,4,3,3
24,,1,2,5,4
24,,1,3,4,3
24,,1,4,3,3
24,,2,2,3,4
24,,2,3,3,3
24,,2,4,3,3
25,Random Block Graph with 12 blocks of order 3,1,2,2,2
25,Random Block Graph with 12 blocks of order 3,1,3,2,1
25,Random Block Graph with 12 blocks of order 3,1,4,2,3
25,Random Block Graph with 12 blocks of order 3,2,2,1,1
25,Random Block Graph with 12 blocks of order 3,2,3,2,2
25,Random Block Graph with 12 blocks of order 3,2,4,2,2
25,"2D Grid Graph for [5, 5]",1,2,4,5
25,"2D Grid Graph for [5, 5]",1,3,5,4
25,"2D Grid Graph for [5, 5]",1,4,4,3
25,"2D Grid Graph for [5, 5]",2,2,2,3
25,"2D Grid Graph for [5, 5]",2,3,3,3
25,"2D Grid Graph for [5, 5]",2,4,3,3
25,Random Block Graph with 8 blocks of order 4,1,2,2,1
25,Random Block Graph with 8 blocks of order 4,1,3,2,2
25,Random Block Graph with 8 blocks of order 4,1,4,2,2
25,Random Block Graph with 8 blocks of order 4,2,2,1,1
25,Random Block Graph with 8 blocks of order 4,2,3,1,1
25,Random Block Graph with 8 blocks of order 4,2,4,1,1
25,,1,2,4,4
25,,1,3,4,3
25,,1,4,2,3
25,,2,2,4,3
25,,2,3,3,3
25,,2,4,3,3
25,Random Block Graph with 6 blocks of order 5,1,2,1,2
25,Random Block Graph with 6 blocks of order 5,1,3,2,1
25,Random Block Graph with 6 blocks of order 5,1,4,2,2
25,Random Block Graph with 6 blocks of order 5,2,2,2,1
25,Random Block Graph with 6 blocks of order 5,2,3,1,1
25,Random Block Graph with 6 blocks of order 5,2,4,1,1
25,Random Block Graph with 4 blocks of order 7,1,2,2,1
25,Random Block Graph with 4 blocks of order 7,1,3,2,1
25,Random Block Graph with 4 blocks of order 7,1,4,1,1
25,Random Block Graph with 4 blocks of order 7,2,2,1,1
25,Random Block Graph with 4 blocks of order 7,2,3,1,1
25,Random Block Graph with 4 blocks of order 7,2,4,1,1
25,Random Block Graph with 3 blocks of order 9,1,2,1,1
25,Random Block Graph with 3 blocks of order 9,1,3,1,1
25,Random Block Graph with 3 blocks of order 9,1,4,1,1
25,Random Block Graph with 3 blocks of order 9,2,2,1,1
25,Random Block Graph with 3 blocks of order 9,2,3,1,1
25,Random Block Graph with 3 blocks of order 9,2,4,1,1
26,"2D Grid Graph for [2, 13]",1,2,4,4
26,"2D Grid Graph for [2, 13]",1,3,3,3
26,"2D Grid Graph for [2, 13]",1,4,3,5
26,"2D Grid Graph for [2, 13]",2,2,3,3
26,"2D Grid Graph for [2, 13]",2,3,3,3
26,"2D Grid Graph for [2, 13]",2,4,2,3
26,Circular Ladder graph,1,2,4,4
26,Circular Ladder graph,1,3,4,4
26,Circular Ladder graph,1,4,4,4
26,Circular Ladder graph,2,2,3,2
26,Circular Ladder graph,2,3,2,2
26,Circular Ladder graph,2,4,4,2
26,Random Block Graph with 5 blocks of order 6,1,2,2,2
26,Random Block Graph with 5 blocks of order 6,1,3,2,2
26,Random Block Graph with 5 blocks of order 6,1,4,1,2
26,Random Block Graph with 5 blocks of order 6,2,2,1,1
26,Random Block Graph with 5 blocks of order 6,2,3,2,1
26,Random Block Graph with 5 blocks of order 6,2,4,1,1
27,Random Block Graph with 13 blocks of order 3,1,2,2,2
27,Random Block Graph with 13 blocks of order 3,1,3,3,2
27,Random Block Graph with 13 blocks of order 3,1,4,2,2
27,Random Block Graph with 13 blocks of order 3,2,2,1,2
27,Random Block Graph with 13 blocks of order 3,2,3,2,2
27,Random Block Graph with 13 blocks of order 3,2,4,2,2
27,"2D Grid Graph for [3, 9]",1,2,4,3
27,"2D Grid Graph for [3, 9]",1,3,3,3
27,"2D Grid Graph for [3, 9]",1,4,3,4
27,"2D Grid Graph for [3, 9]",2,2,2,4
27,"2D Grid Graph for [3, 9]",2,3,3,3
27,"2D Grid Graph for [3, 9]",2,4,2,3
27,"2D Grid Graph for [9, 3]",1,2,4,3
27,"2D Grid Graph for [9, 3]",1,3,4,4
27,"2D Grid Graph for [9, 3]",1,4,3,3
27,"2D Grid Graph for [9, 3]",2,2,3,3
27,"2D Grid Graph for [9, 3]",2,3,3,2
27,"2D Grid Graph for [9, 3]",2,4,3,3
28,"2D Grid Graph for [2, 14]",1,2,4,2
28,"2D Grid Graph for [2, 14]",1,3,2,5
28,"2D Grid Graph for [2, 14]",1,4,3,4
28,"2D Grid Graph for [2, 14]",2,2,2,2
28,"2D Grid Graph for [2, 14]",2,3,3,3
28,"2D Grid Graph for [2, 14]",2,4,4,3
28,Circular Ladder graph,1,2,4,4
28,Circular Ladder graph,1,3,4,4
28,Circular Ladder graph,1,4,4,4
28,Circular Ladder graph,2,2,3,3
28,Circular Ladder graph,2,3,3,4
28,Circular Ladder graph,2,4,3,3
28,"2D Grid Graph for [4, 7]",1,2,4,4
28,"2D Grid Graph for [4, 7]",1,3,4,4
28,"2D Grid Graph for [4, 7]",1,4,4,4
28,"2D Grid Graph for [4, 7]",2,2,3,3
28,"2D Grid Graph for [4, 7]",2,3,3,2
28,"2D Grid Graph for [4, 7]",2,4,3,3
28,"2D Grid Graph for [7, 4]",1,2,4,4
28,"2D Grid Graph for [7, 4]",1,3,4,4
28,"2D Grid Graph for [7, 4]",1,4,4,4
28,"2D Grid Graph for [7, 4]",2,2,2,3
28,"2D Grid Graph for [7, 4]",2,3,3,4
28,"2D Grid Graph for [7, 4]",2,4,4,4
28,Random Block Graph with 9 blocks of order 4,1,2,3,2
28,Random Block Graph with 9 blocks of order 4,1,3,2,2
28,Random Block Graph with 9 blocks of order 4,1,4,2,2
28,Random Block Graph with 9 blocks of order 4,2,2,2,1
28,Random Block Graph with 9 blocks of order 4,2,3,1,2
28,Random Block Graph with 9 blocks of order 4,2,4,2,2
28,,1,2,6,4
28,,1,3,3,4
28,,1,4,4,3
28,,2,2,4,4
28,,2,3,4,4
28,,2,4,4,3
28,,1,2,5,4
28,,1,3,3,5
28,,1,4,4,3
28,,2,2,4,4
28,,2,3,4,3
28,,2,4,3,3
28,Random Block Graph with 3 blocks of order 10,1,2,1,1
28,Random Block Graph with 3 blocks of order 10,1,3,1,1
28,Random Block Graph with 3 blocks of order 10,1,4,1,1
28,Random Block Graph with 3 blocks of order 10,2,2,1,1
28,Random Block Graph with 3 blocks of order 10,2,3,1,1
28,Random Block Graph with 3 blocks of order 10,2,4,1,1
29,Random Block Graph with 14 blocks of order 3,1,2,3,2
29,Random Block Graph with 14 blocks of order 3,1,3,1,3
29,Random Block Graph with 14 blocks of order 3,1,4,2,3
29,Random Block Graph with 14 blocks of order 3,2,2,1,2
29,Random Block Graph with 14 blocks of order 3,2,3,2,3
29,Random Block Graph with 14 blocks of order 3,2,4,1,2
29,Random Block Graph with 7 blocks of order 5,1,2,2,2
29,Random Block Graph with 7 blocks of order 5,1,3,2,2
29,Random Block Graph with 7 blocks of order 5,1,4,2,2
29,Random Block Graph with 7 blocks of order 5,2,2,1,1
29,Random Block Graph with 7 blocks of order 5,2,3,1,1
29,Random Block Graph with 7 blocks of order 5,2,4,2,2
29,Random Block Graph with 4 blocks of order 8,1,2,2,1
29,Random Block Graph with 4 blocks of order 8,1,3,1,2
29,Random Block Graph with 4 blocks of order 8,1,4,2,2
29,Random Block Graph with 4 blocks of order 8,2,2,1,1
29,Random Block Graph with 4 blocks of order 8,2,3,1,1
29,Random Block Graph with 4 blocks of order 8,2,4,1,1
30,Circular Ladder graph,1,2,4,5
30,Circular Ladder graph,1,3,4,4
30,Circular Ladder graph,1,4,4,5
30,Circular Ladder graph,2,2,3,4
30,Circular Ladder graph,2,3,2,3
30,Circular Ladder graph,2,4,3,3
30,"2D Grid Graph for [3, 10]",1,2,4,3
30,"2D Grid Graph for [3, 10]",1,3,3,3
30,"2D Grid Graph for [3, 10]",1,4,4,4
30,"2D Grid Graph for [3, 10]",2,2,4,4
30,"2D Grid Graph for [3, 10]",2,3,2,4
30,"2D Grid Graph for [3, 10]",2,4,3,3
30,"2D Grid Graph for [10, 3]",1,2,6,3
30,"2D Grid Graph for [10, 3]",1,3,4,3
30,"2D Grid Graph for [10, 3]",1,4,5,4
30,"2D Grid Graph for [10, 3]",2,2,4,3
30,"2D Grid Graph for [10, 3]",2,3,3,3
30,"2D Grid Graph for [10, 3]",2,4,3,3
30,"2D Grid Graph for [5, 6]",1,2,5,5
30,"2D Grid Graph for [5, 6]",1,3,5,5
30,"2D Grid Graph for [5, 6]",1,4,4,4
30,"2D Grid Graph for [5, 6]",2,2,3,2
30,"2D Grid Graph for [5, 6]",2,3,3,4
